排名,学校名称,省市,新生高考成绩得分,综合排名
410,湖州师范学院,浙江,37.1,273
410,陕西中医药大学,陕西,37.1,386
410,沈阳师范大学,辽宁,37.1,323
414,淮海工学院,江苏,37.0,381
414,上海第二工业大学,上海,37.0,313
416,吉林工商学院,吉林,36.9,
416,辽宁警察学院,辽宁,36.9,
416,青海大学,青海,36.9,408
416,信阳师范学院,河南,36.9,256
420,山东建筑大学,山东,36.8,408
421,河北北方学院,河北,36.7,320
421,厦门理工学院,福建,36.7,337
423,南昌航空大学,江西,36.5,364
423,曲阜师范大学,山东,36.5,268
423,天津城建大学,天津,36.5,438
426,廊坊师范学院,河北,36.4,450
426,上海体育学院,上海,36.4,294
426,绍兴文理学院,浙江,36.4,296
429,晋中学院,山西,36.3,
429,山东农业大学,山东,36.3,289
431,宁夏师范学院,宁夏,36.1,
432,吉首大学,湖南,36.0,364
432,牡丹江医学院,黑龙江,36.0,391
432,烟台大学,山东,36.0,308
435,西华师范大学,四川,35.9,241
435,郑州轻工业学院,河南,35.9,364
437,吉林建筑大学,吉林,35.8,454
438,沈阳工程学院,辽宁,35.7,460
439,重庆警察学院,重庆,35.6,
440,北京服装学院,北京,35.5,443
440,南京森林警察学院,江苏,35.5,
440,玉林师范学院,广西,35.5,329
443,安徽理工大学,安徽,35.4,415
443,甘肃政法学院,甘肃,35.4,
443,广东海洋大学,广东,35.4,340
443,太原学院,山西,35.4,
447,北京农学院,北京,35.2,381
447,广东技术师范学院,广东,35.2,352
447,湖北汽车工业学院,湖北,35.2,348
447,南京大学金陵学院,江苏,35.2,
451,东莞理工学院,广东,35.1,434
451,泰州学院,江苏,35.1,
453,湖北警官学院,湖北,35.0,
453,淮阴工学院,江苏,35.0,506
453,沈阳化工大学,辽宁,35.0,415
453,四川美术学院,重庆,35.0,
453,唐山师范学院,河北,35.0,474
458,大连海洋大学,辽宁,34.9,373
458,吉林工程技术师范学院,吉林,34.9,
458,上海应用技术大学,上海,34.9,312
461,湖北科技学院,湖北,34.8,401
462,湖北工程学院,湖北,34.7,333
462,湖北理工学院,湖北,34.7,408
462,齐齐哈尔医学院,黑龙江,34.7,358
462,中央司法警官学院,河北,34.7,
466,遵义医学院,贵州,34.6,420
467,北京石油化工学院,北京,34.5,398
468,渤海大学,辽宁,34.4,169
468,郑州师范学院,河南,34.4,348
470,广东药科大学,广东,34.3,323
470,吉林农业大学,吉林,34.3,377
472,大理大学,云南,34.2,319
472,河南工程学院,河南,34.2,463
472,辽宁石油化工大学,辽宁,34.2,427
472,长治学院,山西,34.2,
476,滨州医学院,山东,34.1,364
476,嘉兴学院,浙江,34.1,358
476,山东中医药大学,山东,34.1,358
479,福建工程学院,福建,34.0,403
479,西安文理学院,陕西,34.0,425
481,北京警察学院,北京,33.9,
481,湖北文理学院,湖北,33.9,479
483,江西理工大学,江西,33.8,398
484,成都医学院,四川,33.7,511
485,佛山科学技术学院,广东,33.6,381
485,洛阳理工学院,河南,33.6,474
487,北京师范大学珠海分校,广东,33.5,
487,运城学院,山西,33.5,472
489,杭州医学院,浙江,33.4,
489,黑龙江科技大学,黑龙江,33.4,463
489,沈阳大学,辽宁,33.4,415
489,天津中德应用技术大学,天津,33.4,
489,中原工学院,河南,33.4,434
494,安徽工程大学,安徽,33.3,395
494,白城师范学院,吉林,33.3,
494,厦门医学院,福建,33.3,
494,忻州师范学院,山西,33.3,408
498,黄冈师范学院,湖北,33.2,296
499,吉林化工学院,吉林,33.1,526
499,辽宁科技大学,辽宁,33.1,438
499,长沙学院,湖南,33.1,373
502,成都学院,四川,33.0,450
502,海南医学院,海南,33.0,386
502,华北科技学院,河北,33.0,562
502,陕西理工大学,陕西,33.0,443
506,上海电机学院,上海,32.8,454
507,保定学院,河北,32.7,
507,广东第二师范学院,广东,32.7,415
507,河南科技学院,河南,32.7,532
507,湖北民族学院,湖北,32.7,386
511,安徽中医药大学,安徽,32.6,518
511,北京联合大学,北京,32.6,493
511,河北民族师范学院,河北,32.6,
511,河北水利电力学院,河北,32.6,
515,湖南理工学院,湖南,32.5,395
516,云南警官学院,云南,32.3,
517,海南师范大学,海南,32.2,352
517,内蒙古工业大学,内蒙古,32.2,489
517,山西工程技术学院,山西,32.2,
520,佳木斯大学,黑龙江,32.1,460
520,西南林业大学,云南,32.1,427
522,河北医科大学临床学院,河北,31.8,
523,宝鸡文理学院,陕西,31.7,454
523,哈尔滨学院,黑龙江,31.7,427
525,蚌埠医学院,安徽,31.6,438
526,辽宁工业大学,辽宁,31.5,191
526,重庆文理学院,重庆,31.5,320
528,洛阳师范学院,河南,31.4,506
528,重庆科技学院,重庆,31.4,493
530,黑龙江工程学院,黑龙江,31.3,485
530,江西农业大学,江西,31.3,427
530,齐齐哈尔大学,黑龙江,31.3,443
530,新疆财经大学,新疆,31.3,
534,甘肃农业大学,甘肃,31.2,467
534,贵州财经大学,贵州,31.2,454
536,贵州师范大学,贵州,31.1,467
536,河南财政金融学院,河南,31.1,
536,鲁东大学,山东,31.1,425
539,福建警察学院,福建,31.0,
539,咸阳师范学院,陕西,31.0,526
539,浙江大学城市学院,浙江,31.0,
542,东华理工大学,江西,30.9,427
542,东南大学成贤学院,江苏,30.9,
542,天津体育学院,天津,30.9,
542,天津职业技术师范大学,天津,30.9,496
546,沧州师范学院,河北,30.8,
546,山西传媒学院,山西,30.8,
548,邯郸学院,河北,30.7,537
549,安阳工学院,河南,30.6,578
549,广东警官学院,广东,30.6,
549,天津农学院,天津,30.6,479
549,云南农业大学,云南,30.6,408
553,福建江夏学院,福建,30.5,
553,甘肃医学院,甘肃,30.5,
553,长春工程学院,吉林,30.5,548
556,张家口学院,河北,30.4,
557,江西中医药大学,江西,30.3,443
557,陕西学前师范学院,陕西,30.3,
559,闽江学院,福建,30.2,427
560,惠州学院,广东,30.1,503
560,邢台学院,河北,30.1,496
562,宁波工程学院,浙江,30.0,415
563,赣南医学院,江西,29.9,420
563,南阳理工学院,河南,29.9,553
563,仲恺农业工程学院,广东,29.9,479
566,河北环境工程学院,河北,29.7,
566,湖南工程学院,湖南,29.7,503
566,荆楚理工学院,湖北,29.7,496
566,新乡学院,河南,29.7,532
570,安阳师范学院,河南,29.6,358
570,河南牧业经济学院,河南,29.6,
570,牡丹江师范学院,黑龙江,29.6,551
570,南京师范大学中北学院,江苏,29.6,
574,泰山医学院,山东,29.5,403
575,防灾科技学院,河北,29.4,
575,广西民族师范学院,广西,29.4,
575,五邑大学,广东,29.4,450
575,西安航空学院,陕西,29.4,
575,浙江水利水电学院,浙江,29.4,
580,内蒙古科技大学,内蒙古,29.3,548
580,渭南师范学院,陕西,29.3,542
582,南京航空航天大学金城学院,江苏,29.2,
582,钦州学院,广西,29.2,489
582,武汉体育学院,湖北,29.2,
585,江西科技师范大学,江西,29.0,408
585,西安体育学院,陕西,29.0,
587,吉林农业科技学院,吉林,28.9,
588,衡阳师范学院,湖南,28.8,496
588,铁道警察学院,河南,28.8,
588,燕山大学里仁学院,河北,28.8,
591,鞍山师范学院,辽宁,28.7,506
591,合肥学院,安徽,28.7,521
591,河南城建学院,河南,28.7,570
591,绵阳师范学院,四川,28.7,526
595,北方民族大学,宁夏,28.6,539
595,沈阳体育学院,辽宁,28.6,
595,云南民族大学,云南,28.6,403
598,桂林航天工业学院,广西,28.5,585
598,黑龙江八一农垦大学,黑龙江,28.5,535
598,吉林华桥外国语学院,吉林,28.5,
598,四川理工学院,四川,28.5,467
602,河北大学工商学院,河北,28.4,
602,南阳师范学院,河南,28.4,511
602,梧州学院,广西,28.4,
605,南京医科大学康达学院,江苏,28.3,
605,曲靖师范学院,云南,28.3,427
605,长沙师范学院,湖南,28.3,
608,衡水学院,河北,28.2,
608,昆明学院,云南,28.2,479
608,南京理工大学紫金学院,江苏,28.2,
608,湘南学院,湖南,28.2,503
612,贵阳中医学院,贵州,28.1,539
612,兰州城市学院,甘肃,28.1,526
612,皖南医学院,安徽,28.1,467
615,新疆师范大学,新疆,28.0,493
616,淮北师范大学,安徽,27.9,364
616,济宁医学院,山东,27.9,377
616,吕梁学院,山西,27.9,
616,天水师范学院,甘肃,27.9,570
616,武汉东湖学院,湖北,27.9,
621,成都师范学院,四川,27.8,
621,赣南师范大学,江西,27.8,474
621,厦门大学嘉庚学院,福建,27.8,
624,汉江师范学院,湖北,27.7,
624,浙江大学宁波理工学院,浙江,27.7,
626,安康学院,陕西,27.6,
626,内蒙古师范大学,内蒙古,27.6,553
628,南京特殊教育师范学院,江苏,27.5,
628,苏州大学文正学院,江苏,27.5,
628,重庆第二师范学院,重庆,27.5,489
631,成都体育学院,四川,27.3,
631,河北经贸大学经济管理学院,河北,27.3,
631,山东政法学院,山东,27.3,
634,湖南警察学院,湖南,27.2,
635,湖南文理学院,湖南,27.1,438
636,南昌工程学院,江西,27.0,518
636,西北民族大学,甘肃,27.0,534
636,长江师范学院,重庆,27.0,479
636,肇庆学院,广东,27.0,496
636,郑州工程技术学院,河南,27.0,
641,哈尔滨体育学院,黑龙江,26.9,
641,湖南城市学院,湖南,26.9,521
643,四川警察学院,四川,26.8,
643,榆林学院,陕西,26.8,566
645,湖南医药学院,湖南,26.7,
645,南京师范大学泰州学院,江苏,26.7,
645,平顶山学院,河南,26.7,590
645,山东工商学院,山东,26.7,496
649,百色学院,广西,26.6,
649,岭南师范学院,广东,26.6,472
649,商丘师范学院,河南,26.6,506
652,河北体育学院,河北,26.5,
652,河南工学院,河南,26.5,
652,兰州文理学院,甘肃,26.5,
652,泉州师范学院,福建,26.5,489
656,广州体育学院,广东,26.4,
656,河西学院,甘肃,26.4,564
656,台州学院,浙江,26.4,
656,许昌学院,河南,26.4,485
