排名,学校名称,省市,毕业生就业率,综合排名
230,广东技术师范学院天河学院,广东,96.62%,
231,广东白云学院,广东,96.60%,
231,首都体育学院,北京,96.60%,
231,四川理工学院,四川,96.60%,467
234,天津外国语大学,天津,96.59%,
235,辽东学院,辽宁,96.57%,542
236,浙江大学,浙江,96.56%,3
237,湖州师范学院求真学院,浙江,96.55%,
237,云南农业大学,云南,96.55%,408
239,辽宁大学,辽宁,96.54%,137
240,昆明医科大学海源学院,云南,96.53%,
241,武汉大学,湖北,96.51%,12
242,江苏大学,江苏,96.50%,80
243,宁波大红鹰学院,浙江,96.47%,
243,中原工学院信息商务学院,河南,96.47%,
245,福州外语外贸学院,福建,96.46%,
246,湖州师范学院,浙江,96.45%,273
246,中国传媒大学,北京,96.45%,98
248,惠州学院,广东,96.42%,503
248,韶关学院,广东,96.42%,526
248,沈阳药科大学,辽宁,96.42%,131
248,星海音乐学院,广东,96.42%,
252,中国地质大学（武汉）,湖北,96.40%,61
253,厦门大学嘉庚学院,福建,96.39%,
254,安徽工业大学,安徽,96.37%,212
254,西北工业大学,陕西,96.37%,29
254,云南大学滇池学院,云南,96.37%,
257,湖北工业大学,湖北,96.36%,169
258,四川农业大学,四川,96.34%,176
259,集美大学,福建,96.33%,233
260,大连大学,辽宁,96.32%,323
260,武汉理工大学,湖北,96.32%,47
262,成都文理学院,四川,96.30%,
262,成都学院,四川,96.30%,450
262,福建农林大学,福建,96.30%,220
265,成都信息工程大学银杏酒店管理学院,四川,96.29%,
265,皖西学院,安徽,96.29%,577
267,河北北方学院,河北,96.27%,320
268,四川工商学院,四川,96.26%,
269,天津医科大学临床医学院,天津,96.25%,
270,浙江海洋大学,浙江,96.24%,302
271,电子科技大学中山学院,广东,96.23%,
272,内蒙古师范大学鸿德学院,内蒙古,96.22%,
273,绍兴文理学院元培学院,浙江,96.21%,
273,浙江师范大学行知学院,浙江,96.21%,
275,西南民族大学,四川,96.20%,235
276,北京建筑大学,北京,96.18%,183
277,石家庄铁道大学,河北,96.17%,157
278,哈尔滨工业大学,黑龙江,96.16%,10
278,南昌理工学院,江西,96.16%,
280,济宁医学院,山东,96.14%,377
280,辽宁师范大学,辽宁,96.14%,225
280,宁夏理工学院,宁夏,96.14%,
283,上海海洋大学,上海,96.13%,207
283,长沙理工大学,湖南,96.13%,167
